PoloniexChartData [date=Tue Aug 23 20:00:00 EDT 2016, high=4.1E-7, low=3.8E-7, open=3.9E-7, close=4.0E-7, volume=208.32761089, quoteVolume=528244972.19913, weightedAverage=3.9E-7]
PoloniexChartData [date=Wed Aug 24 20:00:00 EDT 2016, high=4.1E-7, low=3.9E-7, open=4.0E-7, close=4.0E-7, volume=106.15250899, quoteVolume=266734158.92939, weightedAverage=3.9E-7]
PoloniexChartData [date=Thu Aug 25 20:00:00 EDT 2016, high=4.1E-7, low=3.9E-7, open=4.0E-7, close=4.0E-7, volume=96.61756092, quoteVolume=246279453.7565, weightedAverage=3.9E-7]
PoloniexChartData [date=Fri Aug 26 20:00:00 EDT 2016, high=4.0E-7, low=3.9E-7, open=4.0E-7, close=4.0E-7, volume=55.98609573, quoteVolume=143168483.81235, weightedAverage=3.9E-7]
PoloniexChartData [date=Sat Aug 27 20:00:00 EDT 2016, high=4.0E-7, low=3.8E-7, open=3.9E-7, close=4.0E-7, volume=166.88875643, quoteVolume=427430771.83335, weightedAverage=3.9E-7]
PoloniexChartData [date=Sun Aug 28 20:00:00 EDT 2016, high=4.0E-7, low=3.8E-7, open=3.9E-7, close=3.9E-7, volume=122.36143742, quoteVolume=317528105.88611, weightedAverage=3.8E-7]
PoloniexChartData [date=Mon Aug 29 20:00:00 EDT 2016, high=4.0E-7, low=3.8E-7, open=3.8E-7, close=4.0E-7, volume=72.92673983, quoteVolume=187707400.72919, weightedAverage=3.8E-7]
PoloniexChartData [date=Tue Aug 30 20:00:00 EDT 2016, high=4.0E-7, low=3.8E-7, open=3.9E-7, close=4.0E-7, volume=42.06133153, quoteVolume=107201791.05292, weightedAverage=3.9E-7]
PoloniexChartData [date=Wed Aug 31 20:00:00 EDT 2016, high=4.0E-7, low=3.8E-7, open=3.9E-7, close=3.9E-7, volume=78.81405325, quoteVolume=202351231.02903, weightedAverage=3.8E-7]
PoloniexChartData [date=Thu Sep 01 20:00:00 EDT 2016, high=4.0E-7, low=3.8E-7, open=3.9E-7, close=4.0E-7, volume=60.95080334, quoteVolume=156274520.22844, weightedAverage=3.9E-7]
PoloniexChartData [date=Fri Sep 02 20:00:00 EDT 2016, high=4.0E-7, low=3.7E-7, open=3.9E-7, close=3.8E-7, volume=155.19032207, quoteVolume=411185476.71993, weightedAverage=3.7E-7]
