PoloniexChartData [date=2015-08-21 00:00:00 GMT, high=4.5E-7, low=4.3E-7, open=4.5E-7, close=4.4E-7, volume=1.29438774, quoteVolume=2994662.4464085, weightedAverage=4.3E-7]
PoloniexChartData [date=2015-08-22 00:00:00 GMT, high=4.4E-7, low=4.2E-7, open=4.3E-7, close=4.4E-7, volume=1.96881367, quoteVolume=4626591.6567623, weightedAverage=4.2E-7]
PoloniexChartData [date=2015-08-23 00:00:00 GMT, high=4.5E-7, low=4.3E-7, open=4.4E-7, close=4.3E-7, volume=0.35029541, quoteVolume=797746.07979798, weightedAverage=4.3E-7]
PoloniexChartData [date=2015-08-24 00:00:00 GMT, high=4.5E-7, low=4.1E-7, open=4.3E-7, close=4.4E-7, volume=5.21516687, quoteVolume=12270498.534162, weightedAverage=4.2E-7]
PoloniexChartData [date=2015-08-25 00:00:00 GMT, high=4.4E-7, low=3.9E-7, open=4.3E-7, close=3.9E-7, volume=5.99456264, quoteVolume=14766780.440758, weightedAverage=4.0E-7]
PoloniexChartData [date=2015-08-26 00:00:00 GMT, high=4.1E-7, low=3.8E-7, open=4.0E-7, close=4.1E-7, volume=2.26527372, quoteVolume=5705559.6281096, weightedAverage=3.9E-7]
PoloniexChartData [date=2015-08-27 00:00:00 GMT, high=4.4E-7, low=3.9E-7, open=4.1E-7, close=4.4E-7, volume=0.90199614, quoteVolume=2206810.1620014, weightedAverage=4.0E-7]
PoloniexChartData [date=2015-08-28 00:00:00 GMT, high=4.5E-7, low=4.0E-7, open=4.1E-7, close=4.1E-7, volume=2.14253564, quoteVolume=4922547.5880991, weightedAverage=4.3E-7]
PoloniexChartData [date=2015-08-29 00:00:00 GMT, high=4.5E-7, low=4.3E-7, open=4.4E-7, close=4.3E-7, volume=1.27503574, quoteVolume=2838658.1723096, weightedAverage=4.4E-7]
PoloniexChartData [date=2015-08-30 00:00:00 GMT, high=4.5E-7, low=3.9E-7, open=4.4E-7, close=4.5E-7, volume=2.48216159, quoteVolume=5860032.7788487, weightedAverage=4.2E-7]
PoloniexChartData [date=2015-08-31 00:00:00 GMT, high=4.5E-7, low=3.9E-7, open=4.3E-7, close=4.1E-7, volume=2.45253696, quoteVolume=5752801.9925855, weightedAverage=4.2E-7]
